Country or Area,Year,Value,
Algeria,2004,85324997370,
Algeria,2003,67863832648,
Algeria,2002,56760288962,
Algeria,2001,54744716706,
Algeria,2000,54790058957,
Algeria,1999,48640613515,
Algeria,1998,48187780126,
Algeria,1997,48177861891,
Algeria,1996,46941496308,
Algeria,1995,41764054035,
Algeria,1994,42542573602,
Algeria,1993,49946456681,
Algeria,1992,48003297249,
Algeria,1991,45715368144,
Algeria,1990,62045098370,
Algeria,1989,55631488294,
Algeria,1988,59089065517,
Algeria,1987,66742269090,
Algeria,1986,63696299985,
Algeria,1985,57937867717,
Algeria,1984,53698280323,
Algeria,1983,48801372228,
Algeria,1982,45207090668,
Algeria,1981,44348670724,
Algeria,1980,42345276288,
Algeria,1979,33243421339,
Algeria,1978,26364491675,
Algeria,1977,20971901063,
Algeria,1976,17728348385,
Algeria,1975,15557934473,
Algeria,1974,13209713770,
Algeria,1973,8715106129,
Algeria,1972,6761786484,
Algeria,1971,5077222330,
Algeria,1970,4863487557,
Algeria,1969,4257253358,
Algeria,1968,3852147113,
Algeria,1967,3370870461,
Algeria,1966,3039859268,
Algeria,1965,3136284385,
Algeria,1964,2909340115,
Algeria,1963,2703004010,
Algeria,1962,2001460839,
Algeria,1961,2434766866,
Algeria,1960,2723637620,
Andorra,2008,3712034267,
Andorra,2007,3245411584,
Andorra,2006,2823503853,
Andorra,2005,2539759286,
Andorra,2004,2322163502,
Andorra,2003,1917948475,
Andorra,2002,1456198796,
Andorra,2001,1264760246,
Andorra,2000,1133644295,
Andorra,1999,1239840266,
Andorra,1998,1211953954,
Andorra,1997,1180646037,
Andorra,1996,1224023470,
Andorra,1995,1178745262,
Andorra,1994,1017544619,
Andorra,1993,1007090896,
Andorra,1992,1209992604,
Andorra,1991,1106890943,
Andorra,1990,1028989439,
Andorra,1989,795489398,
Andorra,1988,721426027.5,
Andorra,1987,611300198.5,
Andorra,1986,481996232.9,
Andorra,1985,346742901.7,
Andorra,1984,330073024.9,
Andorra,1983,327849949,
Andorra,1982,375914742.9,
Andorra,1981,388983013.9,
Andorra,1980,446377494.9,
Andorra,1979,411548246.8,
Andorra,1978,308020384.4,
Andorra,1977,253998069.1,
Andorra,1976,227284165.9,
Andorra,1975,220112850.8,
Andorra,1974,186557164,
Andorra,1973,150841699.1,
Andorra,1972,113414331.9,
Andorra,1971,89406659.51,
Andorra,1970,78617570.32,
Angola,2013,1.24E+11,
Angola,2012,1.15E+11,
Angola,2011,1.04E+11,
Angola,2010,82470894868,
Angola,2009,75492416523,
Angola,2008,84178084135,
Angola,2007,60448887583,
Angola,2006,41789493192,
Angola,2005,28233699334,
Angola,2004,19640862550,
Angola,2003,14188949240,
Angola,2002,12497346042,
Angola,2001,8936079253,
Angola,2000,9129594819,
Angola,1999,6152922943,
Angola,1998,6445041825,
Angola,1997,7648377413,
Angola,1996,7526446606,
Angola,1995,5039552482,
Angola,1994,4059352153,
Angola,1993,5285600050,
Angola,1992,5779394292,
Angola,1991,12193746625,
Angola,1990,10260193361,
Angola,1989,9283054576,
Angola,1988,7975234067,
Angola,1987,7383121654,
Angola,1986,6355849179,
Angola,1985,6804278063,
Antigua and Barbuda,2013,1200587519,
Antigua and Barbuda,2012,1204713111,
Antigua and Barbuda,2011,1129918370,
Antigua and Barbuda,2010,1135539037,
Antigua and Barbuda,2009,1206410370,
Antigua and Barbuda,2008,1347349852,
Antigua and Barbuda,2007,1289254311,
Antigua and Barbuda,2006,1135143573,
Antigua and Barbuda,2005,997374093.5,
Antigua and Barbuda,2004,898356132.3,
Antigua and Barbuda,2003,839996355.5,
Antigua and Barbuda,2002,802529319.2,
Antigua and Barbuda,2001,773765171.5,
Antigua and Barbuda,2000,783837838,
Antigua and Barbuda,1999,651851840.3,
Antigua and Barbuda,1998,620037026.1,
Antigua and Barbuda,1997,579851841.6,
Antigua and Barbuda,1996,541074064.5,
Antigua and Barbuda,1995,494185176.5,
Antigua and Barbuda,1994,500088880.1,
Antigua and Barbuda,1993,456537029,
Antigua and Barbuda,1992,423762955.5,
Antigua and Barbuda,1991,410388881.6,
Antigua and Barbuda,1990,391570363.5,
Antigua and Barbuda,1989,373403697.1,
Antigua and Barbuda,1988,338696290.3,
Antigua and Barbuda,1987,286474069,
Antigua and Barbuda,1986,245896292,
Antigua and Barbuda,1985,201862959.4,
Antigua and Barbuda,1984,173511108,
Antigua and Barbuda,1983,153270367.7,
Antigua and Barbuda,1982,137951849.4,
Antigua and Barbuda,1981,124462960.8,
Antigua and Barbuda,1980,110066664.7,
Antigua and Barbuda,1979,92240739.11,
Antigua and Barbuda,1978,74855554.23,
Antigua and Barbuda,1977,66144443.28,
Arab World,2013,2.85E+12,
Arab World,2012,2.74E+12,
Arab World,2011,2.49E+12,
Arab World,2010,2.10E+12,
Arab World,2009,1.79E+12,
Arab World,2008,2.08E+12,
Arab World,2007,1.64E+12,
Arab World,2006,1.40E+12,
Arab World,2005,1.18E+12,
Arab World,2004,9.59E+11,
Arab World,2003,8.16E+11,
Arab World,2002,7.24E+11,
Arab World,2001,7.13E+11,
Arab World,2000,7.26E+11,
Arab World,1999,6.34E+11,
Arab World,1998,5.87E+11,
Arab World,1997,6.09E+11,
Arab World,1996,5.74E+11,
Arab World,1995,5.20E+11,
Arab World,1994,4.84E+11,
Arab World,1993,4.73E+11,
Arab World,1992,4.68E+11,
Arab World,1991,4.37E+11,
Arab World,1990,4.44E+11,
Arab World,1989,3.21E+11,
Arab World,1988,3.06E+11,
Arab World,1987,3.12E+11,
Arab World,1986,2.88E+11,
Arab World,1985,3.03E+11,
Arab World,1984,3.07E+11,
Arab World,1983,3.03E+11,
Arab World,1982,3.23E+11,
Arab World,1981,3.46E+11,
Arab World,1980,3.37E+11,
Arab World,1979,2.47E+11,
Arab World,1978,1.83E+11,
Arab World,1977,1.66E+11,
Arab World,1976,1.44E+11,
Arab World,1975,1.16E+11,
Arab World,1974,1.04E+11,
Arab World,1973,54346011193,
Arab World,1972,42761504413,
Arab World,1971,35894922053,
Arab World,1970,30910527984,
Arab World,1969,28316305838,
Arab World,1968,25666374895,
Argentina,2013,6.10E+11,
Argentina,2012,6.03E+11,
Argentina,2011,5.58E+11,
Argentina,2010,4.63E+11,
Argentina,2009,3.78E+11,
Argentina,2008,4.06E+11,
Argentina,2007,3.30E+11,
Argentina,2006,2.64E+11,
Argentina,2005,2.23E+11,
Argentina,2004,1.83E+11,
Argentina,2003,1.57E+11,
Argentina,2002,1.24E+11,
Argentina,2001,3.25E+11,
Argentina,2000,3.44E+11,
Argentina,1999,3.43E+11,
Argentina,1998,3.62E+11,
Argentina,1997,3.55E+11,
Argentina,1996,3.30E+11,
Argentina,1995,3.13E+11,
Argentina,1994,3.12E+11,
Argentina,1993,2.37E+11,
Argentina,1992,2.29E+11,
Argentina,1991,1.90E+11,
Argentina,1990,1.41E+11,
Argentina,1989,76636898036,
Argentina,1988,1.26E+11,
Argentina,1987,1.11E+11,
Argentina,1986,1.11E+11,
Argentina,1985,88416668900,
Argentina,1984,79092001998,
Argentina,1983,1.04E+11,
Argentina,1982,84307486837,
Argentina,1981,78676842366,
Argentina,1980,76961923742,
Argentina,1979,69252328953,
Argentina,1978,58082870156,
Argentina,1977,56781000101,
Argentina,1976,51169499891,
Argentina,1975,52438647922,
Argentina,1974,72436777342,
Argentina,1973,52544000117,
Argentina,1972,34733000536,
Argentina,1971,33293199095,
Argentina,1970,31584210365,
Argentina,1969,31256284545,
Argentina,1968,26436857248,
Argentina,1967,24256667555,
Argentina,1966,28630474726,
Argentina,1965,28344705968,
Argentina,1964,25605249382,
Argentina,1963,18272123664,
Argentina,1962,24450604878,
Armenia,2013,10432169571,
Armenia,2012,9958217880,
Armenia,2011,10142342770,
Armenia,2010,9260287416,
Armenia,2009,8647936748,
Armenia,2008,11662040714,
Armenia,2007,9206301700,
Armenia,2006,6384457744,
Armenia,2005,4900436759,
Armenia,2004,3576615240,
Armenia,2003,2807061009,
Armenia,2002,2376335048,
Armenia,2001,2118467913,
Armenia,2000,1911563665,
Armenia,1999,1845482181,
Armenia,1998,1893726437,
Armenia,1997,1639492424,
Armenia,1996,1596968913,
Armenia,1995,1468317350,
Armenia,1994,1315158670,
Armenia,1993,1201313196,
Armenia,1992,1272577522,
Armenia,1991,2068526522,
Armenia,1990,2256838858,
Aruba,2011,2584463687,
Aruba,2010,2467703911,
Aruba,2009,2498932961,
Aruba,2008,2791960894,
Aruba,2007,2623726257,
Aruba,2006,2421474860,
Aruba,2005,2331005587,
Aruba,2004,2228279330,
Aruba,2003,2021301676,
Aruba,2002,1941094972,
Aruba,2001,1920262570,
Aruba,2000,1873452514,
Aruba,1999,1722798883,
Aruba,1998,1665363128,
Aruba,1997,1531843575,
Aruba,1996,1379888268,
Aruba,1995,1320670391,
Aruba,1994,1330167598,
Australia,2013,1.56E+12,
Australia,2012,1.53E+12,
Australia,2011,1.39E+12,
Australia,2010,1.14E+12,
Australia,2009,9.26E+11,
Australia,2008,1.06E+12,
Australia,2007,8.53E+11,
Australia,2006,7.47E+11,
Australia,2005,6.93E+11,
Australia,2004,6.13E+11,
Australia,2003,4.66E+11,
Australia,2002,3.94E+11,
Australia,2001,3.78E+11,
Australia,2000,4.15E+11,
Australia,1999,3.89E+11,
Australia,1998,3.99E+11,
Australia,1997,4.36E+11,
Australia,1996,4.01E+11,
Australia,1995,3.68E+11,
Australia,1994,3.23E+11,
Australia,1993,3.12E+11,
Australia,1992,3.25E+11,
Australia,1991,3.26E+11,
Australia,1990,3.11E+11,
Australia,1989,2.99E+11,
Australia,1988,2.36E+11,
Australia,1987,1.89E+11,
Australia,1986,1.82E+11,
Australia,1985,1.80E+11,
Australia,1984,1.93E+11,
Australia,1983,1.77E+11,
Australia,1982,1.94E+11,
Australia,1981,1.77E+11,
Australia,1980,1.50E+11,
Australia,1979,1.35E+11,
Australia,1978,1.18E+11,
Australia,1977,1.10E+11,
Australia,1976,1.05E+11,
Australia,1975,97098183804,
Australia,1974,88789977892,
Australia,1973,63700192184,
Australia,1972,51936915888,
Australia,1971,45127113899,
Australia,1970,41252099899,
Australia,1969,36612162616,
Australia,1968,32647552917,
Australia,1967,30383021615,
Australia,1966,27255011759,
Australia,1965,25930115354,
Australia,1964,23758539590,
Australia,1963,21500727965,
Australia,1962,19886885429,
Australia,1961,19651696719,
Australia,1960,18574308433,
Austria,2013,4.28E+11,
Austria,2012,4.08E+11,
Austria,2011,4.29E+11,
Austria,2010,3.90E+11,
Austria,2009,3.98E+11,
Austria,2008,4.28E+11,
Austria,2007,3.86E+11,
Austria,2006,3.34E+11,
Austria,2005,3.15E+11,
Austria,2004,3.00E+11,
Austria,2003,2.61E+11,
Austria,2002,2.13E+11,
Austria,2001,1.97E+11,
Austria,2000,1.96E+11,
Austria,1999,2.17E+11,
Austria,1998,2.18E+11,
Austria,1997,2.12E+11,
Austria,1996,2.37E+11,
Austria,1995,2.40E+11,
Austria,1994,2.03E+11,
Austria,1993,1.90E+11,
Austria,1992,1.95E+11,
Austria,1991,1.73E+11,
Austria,1990,1.66E+11,
Austria,1989,1.33E+11,
Austria,1988,1.33E+11,
Austria,1987,1.24E+11,
Austria,1986,98797587382,
Austria,1985,69219621907,
Austria,1984,67821568599,
Austria,1983,71947277233,
Austria,1982,71103585384,
Austria,1981,70863106877,
Austria,1980,81861232823,
Austria,1979,73759181884,
Austria,1978,61902774946,
Austria,1977,51421585630,
Austria,1976,42856485618,
Austria,1975,39962704274,
Austria,1974,35104529078,
Austria,1973,29444365310,
Austria,1972,22006470861,
Austria,1971,17815464919,
Austria,1970,15335972268,
Austria,1969,13582798556,
Austria,1968,12440625313,
Austria,1967,11579431669,
Austria,1966,10887682273,
Austria,1965,9994070616,
Austria,1964,9169983886,
Austria,1963,8374175258,
Austria,1962,7756110210,
Austria,1961,7311749633,
Austria,1960,6592693841,
Azerbaijan,2013,73560484385,
Azerbaijan,2012,68730906314,
Azerbaijan,2011,65951627200,
Azerbaijan,2010,52902703376,
Azerbaijan,2009,44291490421,
Azerbaijan,2008,48852482960,
Azerbaijan,2007,33050343783,
Azerbaijan,2006,20982270733,
Azerbaijan,2005,13245421881,
Azerbaijan,2004,8680511918,
Azerbaijan,2003,7275766111,
Azerbaijan,2002,6236024951,
Azerbaijan,2001,5707618247,
Azerbaijan,2000,5272617196,
Azerbaijan,1999,4581222442,
Azerbaijan,1998,4446396218,
Azerbaijan,1997,3962710163,
Azerbaijan,1996,3176749593,
Azerbaijan,1995,3052467522,
Azerbaijan,1994,3313739674,
Azerbaijan,1993,3973027397,
Azerbaijan,1992,4991350458,
Azerbaijan,1991,8792365811,
Azerbaijan,1990,8858006036,
"Bahamas, The",2013,8420000000,
"Bahamas, The",2012,8219000000,
"Bahamas, The",2011,7931000000,
"Bahamas, The",2010,7910000000,
"Bahamas, The",2009,7820420000,
"Bahamas, The",2008,8246650000,
"Bahamas, The",2007,8318996000,
"Bahamas, The",2006,7965588000,
"Bahamas, The",2005,7706222000,
"Bahamas, The",2004,7094413000,
"Bahamas, The",2003,6949317000,
"Bahamas, The",2002,6957996000,
"Bahamas, The",2001,6516651000,
"Bahamas, The",2000,6327552000,
"Bahamas, The",1999,6019972000,
"Bahamas, The",1998,5353524000,
"Bahamas, The",1997,4961119000,
"Bahamas, The",1996,3609000000,
"Bahamas, The",1995,3429000000,
"Bahamas, The",1994,3259000000,
"Bahamas, The",1993,3092000000,
"Bahamas, The",1992,3109000000,
"Bahamas, The",1991,3111160000,
"Bahamas, The",1990,3166000000,
"Bahamas, The",1989,3062000000,
"Bahamas, The",1988,2817900000,
"Bahamas, The",1987,2713999900,
"Bahamas, The",1986,2472500000,
"Bahamas, The",1985,2320699900,
"Bahamas, The",1984,2041100000,
"Bahamas, The",1983,1732800000,
"Bahamas, The",1982,1578300000,
"Bahamas, The",1981,1426500000,
"Bahamas, The",1980,1335300000,
"Bahamas, The",1979,1139800100,
"Bahamas, The",1978,832400000,
"Bahamas, The",1977,713000000,
"Bahamas, The",1976,642100000,
"Bahamas, The",1975,596200000,
"Bahamas, The",1974,632400000,
"Bahamas, The",1973,670900000,
"Bahamas, The",1972,590900000,
"Bahamas, The",1971,573400000,
"Bahamas, The",1970,538423167.5,
"Bahamas, The",1969,528137264.8,
"Bahamas, The",1968,444901969.1,
"Bahamas, The",1967,390196085.7,
"Bahamas, The",1966,340000006.4,
"Bahamas, The",1965,300392162.5,
"Bahamas, The",1964,266664053.7,
"Bahamas, The",1963,237742768.5,
"Bahamas, The",1962,212252822.2,
"Bahamas, The",1961,190096176.6,
"Bahamas, The",1960,169802257.8,
Bahrain,2013,32890110533,
Bahrain,2012,30756789966,
Bahrain,2011,29044378132,
Bahrain,2010,25713544825,
Bahrain,2009,22938462111,
Bahrain,2008,25711151182,
Bahrain,2007,21730577941,
Bahrain,2006,18505545360,
Bahrain,2005,15969151306,
Bahrain,2004,13150516509,
Bahrain,2003,11075116594,
Bahrain,2002,9632411109,
Bahrain,2001,8976446420,
Bahrain,2000,9063147901,
Bahrain,1999,6621186419,
Bahrain,1998,6183941092,
Bahrain,1997,6349202600,
Bahrain,1996,6101861656,
Bahrain,1995,5849468115,
Bahrain,1994,5567553552,
Bahrain,1993,5200266050,
Bahrain,1992,4751063992,
Bahrain,1991,4616223477,
Bahrain,1990,4229787379,
Bahrain,1989,3863564047,
Bahrain,1988,3702393659,
Bahrain,1987,3392021223,
Bahrain,1986,3052393636,
Bahrain,1985,3651861912,
Bahrain,1984,3905585155,
Bahrain,1983,3735106511,
Bahrain,1982,3645744806,
Bahrain,1981,3467819353,
Bahrain,1980,3072698346,
Bangladesh,2013,1.50E+11,
Bangladesh,2012,1.33E+11,
Bangladesh,2011,1.29E+11,
Bangladesh,2010,1.15E+11,
Bangladesh,2009,1.02E+11,
Bangladesh,2008,91631278239,
Bangladesh,2007,79611888213,
Bangladesh,2006,71819088743,
Bangladesh,2005,60277560976,
Bangladesh,2004,56560744012,
Bangladesh,2003,51913661485,
Bangladesh,2002,47571130071,
Bangladesh,2001,46987842847,
Bangladesh,2000,47124925462,
Bangladesh,1999,45694072379,
Bangladesh,1998,44091754148,
Bangladesh,1997,42318798537,
Bangladesh,1996,40666015642,
Bangladesh,1995,37939752959,
Bangladesh,1994,33768661427,
Bangladesh,1993,33166530061,
Bangladesh,1992,31708863730,
Bangladesh,1991,30957444767,
Bangladesh,1990,30128776345,
Bangladesh,1989,26825240347,
Bangladesh,1988,25638749373,
Bangladesh,1987,23781404932,
Bangladesh,1986,21160234384,
Bangladesh,1985,21613230769,
Bangladesh,1984,19670160944,
Bangladesh,1983,17155798869,
Bangladesh,1982,18087000000,
Bangladesh,1981,19762945710,
Bangladesh,1980,18114645161,
Bangladesh,1979,15585961413,
Bangladesh,1978,13299358551,
Bangladesh,1977,9632469658,
Bangladesh,1976,10083163547,
Bangladesh,1975,19395903921,
Bangladesh,1974,12459282563,
Bangladesh,1973,8067027098,
Bangladesh,1972,6288245867,
Bangladesh,1971,8751842840,
Bangladesh,1970,8992721809,
Bangladesh,1969,8471006101,
Bangladesh,1968,7483685473,
Bangladesh,1967,7253575399,
Bangladesh,1966,6439687598,
Bangladesh,1965,5906636557,
Bangladesh,1964,5386054619,
Bangladesh,1963,5319458351,
Bangladesh,1962,5081413340,
Bangladesh,1961,4817580184,
Bangladesh,1960,4274893913,
Barbados,2012,4224850000,
Barbados,2011,4368900000,
Barbados,2010,4433700000,
Barbados,2009,4592650000,
Barbados,2008,4541550000,
Barbados,2007,4513250000,
Barbados,2006,4314050000,
Barbados,2005,3891500000,
Barbados,2004,3509700000,
Barbados,2003,3271200000,
Barbados,2002,3168600000,
Barbados,2001,3112350000,
Barbados,2000,3119500000,
Barbados,1999,3012031889,
Barbados,1998,2874459181,
Barbados,1997,2549296365,
Barbados,1996,2411872814,
Barbados,1995,2261969772,
Barbados,1994,2151295089,
Barbados,1993,2046188943,
Barbados,1992,1950900000,
Barbados,1991,2007109743,
Barbados,1990,2023318164,
Barbados,1989,1703922715,
Barbados,1988,1540893883,
Barbados,1987,1448665028,
Barbados,1986,1315567053,
Barbados,1985,1198180246,
Barbados,1984,1144931026,
Barbados,1983,1050464828,
Barbados,1982,989409791.7,
Barbados,1981,946949724.9,
Barbados,1980,860438453.3,
Barbados,1979,670312672.3,
Barbados,1978,552876225.3,
Barbados,1977,495116619.3,
Barbados,1976,435871861.9,
Barbados,1975,402158285.8,
Barbados,1974,340492903.7,
Barbados,1973,284759098.1,
Barbados,1972,233383640,
Barbados,1971,204010328.9,
Barbados,1970,181500000,
Barbados,1969,154400000,
Barbados,1968,137300000,
Barbados,1967,137103729.9,
Barbados,1966,123608022.7,
Barbados,1965,114683045.1,
Barbados,1964,108383060.9,
Barbados,1963,109083059.2,
Barbados,1962,96949756.33,
Barbados,1961,93216432.38,
Barbados,1960,87383113.71,
Belarus,2013,71709513654,
Belarus,2012,63615445567,
Belarus,2011,59734593905,
Belarus,2010,55220932614,
Belarus,2009,49208656976,
Belarus,2008,60763483146,
Belarus,2007,45275711996,
Belarus,2006,36961918859,
Belarus,2005,30210091837,
Belarus,2004,23141587718,
Belarus,2003,17825436035,
Belarus,2002,14594925393,
Belarus,2001,12354820144,
Belarus,2000,12736856485,
Belarus,1999,12138485329,
Belarus,1998,15222014828,
Belarus,1997,14128412417,
Belarus,1996,14756861538,
Belarus,1995,13972637603,
Belarus,1994,14931599418,
Belarus,1993,16280372553,
Belarus,1992,17022180272,
Belarus,1991,17813389815,
Belarus,1990,17369598958,
Belgium,2013,5.25E+11,
Belgium,2012,4.99E+11,
Belgium,2011,5.28E+11,
Belgium,2010,4.84E+11,
Belgium,2009,4.86E+11,
Belgium,2008,5.20E+11,
Belgium,2007,4.72E+11,
Belgium,2006,4.11E+11,
Belgium,2005,3.87E+11,
Belgium,2004,3.70E+11,
Belgium,2003,3.19E+11,
Belgium,2002,2.58E+11,
Belgium,2001,2.37E+11,
Belgium,2000,2.37E+11,
Belgium,1999,2.60E+11,
Belgium,1998,2.60E+11,
Belgium,1997,2.54E+11,
Belgium,1996,2.81E+11,
Belgium,1995,2.89E+11,
Belgium,1994,2.46E+11,
Belgium,1993,2.26E+11,
Belgium,1992,2.36E+11,
Belgium,1991,2.11E+11,
Belgium,1990,2.06E+11,
Belgium,1989,1.65E+11,
Belgium,1988,1.63E+11,
Belgium,1987,1.50E+11,
Belgium,1986,1.20E+11,
Belgium,1985,86596838576,
Belgium,1984,83666987224,
Belgium,1983,87516301460,
Belgium,1982,92446696804,
Belgium,1981,1.05E+11,
Belgium,1980,1.27E+11,
Belgium,1979,1.17E+11,
Belgium,1978,1.02E+11,
Belgium,1977,83155421722,
Belgium,1976,71384738036,
Belgium,1975,65928340353,
Belgium,1974,56246494097,
Belgium,1973,47925645622,
Belgium,1972,37351139126,
Belgium,1971,29935244717,
Belgium,1970,26807913271,
Belgium,1969,23710735895,
Belgium,1968,21376353113,
Belgium,1967,19992040788,
Belgium,1966,18651883472,
Belgium,1965,17371457608,
Belgium,1964,15960106681,
Belgium,1963,14260017387,
Belgium,1962,13264015675,
Belgium,1961,12400145222,
Belgium,1960,11658722591,
Belize,2013,1624294250,
Belize,2012,1573867300,
Belize,2011,1487005600,
Belize,2010,1397113450,
Belize,2009,1336957250,
Belize,2008,1368625150,
Belize,2007,1290542550,
Belize,2006,1217442150,
Belize,2005,1114202700,
Belize,2004,1057850000,
Belize,2003,990350000,
Belize,2002,932676403.2,
Belize,2001,871840755.4,
Belize,2000,831750000,
Belize,1999,732607993.8,
Belize,1998,688872472.7,
Belize,1997,654198121.1,
Belize,1996,641271333.4,
Belize,1995,620031771.9,
Belize,1994,580760211.3,
Belize,1993,559759653.3,
Belize,1992,518143678.5,
Belize,1991,444720726.5,
Belize,1990,413049984,
Belize,1989,363150016,
Belize,1988,314900000,
Belize,1987,276550016,
Belize,1986,227850000,
Belize,1985,209150000,
Belize,1984,210900000,
Belize,1983,189000000,
Belize,1982,179250000,
Belize,1981,192900000,
Belize,1980,194750000,
Belize,1979,151800000,
Belize,1978,136300000,
Belize,1977,117650000,
Belize,1976,96905828.77,
Belize,1975,118066302.1,
Belize,1974,103216372,
Belize,1973,78343558.51,
Belize,1972,66062499.02,
Belize,1971,59207317.59,
Belize,1970,53233534.3,
Belize,1969,47305390.44,
Belize,1968,44910180.79,
Belize,1967,47379308.79,
Belize,1966,44405596.03,
Belize,1965,40069931.54,
Belize,1964,36194610.8,
Belize,1963,33750090.61,
Belize,1962,31857563,
Belize,1961,29965035.39,
Belize,1960,28072504.98,
Benin,2013,8307222087,
Benin,2012,7543183759,
Benin,2011,7289779658,
Benin,2010,6561782313,
Benin,2009,6584477485,
Benin,2008,6633463907,
Benin,2007,5511880906,
Benin,2006,4705087452,
Benin,2005,4358015993,
Benin,2004,4050869968,
Benin,2003,3557229702,
Benin,2002,2807657386,
Benin,2001,2499269391,
Benin,2000,2359122303,
Benin,1999,2488892429,
Benin,1998,2455092688,
Benin,1997,2268301645,
Benin,1996,2361116448,
Benin,1995,2169627138,
Benin,1994,1598075945,
Benin,1993,2274558079,
Benin,1992,1695315186,
Benin,1991,1986437798,
Benin,1990,1959965330,
Benin,1989,1502294414,
Benin,1988,1620246085,
Benin,1987,1562412226,
Benin,1986,1336102027,
Benin,1985,1045712790,
Benin,1984,1051134009,
Benin,1983,1095348199,
Benin,1982,1267778672,
Benin,1981,1291120191,
Benin,1980,1405251844,
Benin,1979,1186231018,
Benin,1978,928843468.5,
Benin,1977,750049780.2,
Benin,1976,698408261.1,
Benin,1975,676870139.3,
Benin,1974,554654861.5,
Benin,1973,504376074.1,
Benin,1972,410331856.2,
Benin,1971,335073027.9,
Benin,1970,333627713.5,
Benin,1969,330748244.1,
Benin,1968,326323105.6,
Benin,1967,306221953.4,
Benin,1966,302925235.7,
Benin,1965,289908680.2,
Benin,1964,269819005.8,
Benin,1963,253927697.6,
Benin,1962,236434954.3,
Benin,1961,235668220.9,
Benin,1960,226195578.1,
Bermuda,2012,5473536000,
Bermuda,2011,5550771000,
Bermuda,2010,5744414000,
Bermuda,2009,5806378000,
Bermuda,2008,6109928000,
Bermuda,2007,5895048000,
Bermuda,2006,5414299000,
Bermuda,2005,4868136000,
Bermuda,2004,4484703000,
Bermuda,2003,4186525000,
Bermuda,2002,3937228000,
Bermuda,2001,3680483000,
Bermuda,2000,3480219000,
Bermuda,1999,3324433000,
Bermuda,1998,3130748000,
Bermuda,1997,2932827000,
Bermuda,1996,2695390000,
Bermuda,1995,2030749952,
Bermuda,1994,1867160064,
Bermuda,1993,1820359936,
Bermuda,1992,1679900032,
Bermuda,1991,1634899968,
Bermuda,1990,1592400000,
Bermuda,1989,1501500032,
Bermuda,1988,1415100032,
Bermuda,1987,1296499968,
Bermuda,1986,1173500032,
Bermuda,1985,1039500032,
Bermuda,1984,985699968,
Bermuda,1983,889400000,
Bermuda,1982,785500032,
Bermuda,1981,739100032,
Bermuda,1980,613299968,
Bermuda,1979,517200000,
Bermuda,1978,475800000,
Bermuda,1977,447000000,
Bermuda,1976,386300000,
Bermuda,1975,345000000,
Bermuda,1974,312600000,
Bermuda,1973,269500000,
Bermuda,1972,235400000,
Bermuda,1971,211100000,
Bermuda,1970,186300000,
Bermuda,1969,164900000,
Bermuda,1968,150000000,
Bermuda,1967,155102984.6,
Bermuda,1966,134173373.8,
Bermuda,1965,114339049,
Bermuda,1964,107566650.6,
Bermuda,1963,96366652.31,
Bermuda,1962,94149985.97,
Bermuda,1961,89249986.7,
Bermuda,1960,84466654.08,
Bhutan,2013,1781261413,
Bhutan,2012,1823692110,
Bhutan,2011,1820207626,
Bhutan,2010,1585396256,
Bhutan,2009,1264758198,
Bhutan,2008,1258193519,
